path,role,category,profile,format,bytes,width,height,sha256,status
assets/ui/cards/card_projects_v1.png,source,card,,png,1984280,1536,1024,9a4ccfc155fc623a21217fceabafef52589c6efae98f0447116afd9757b828ac,source-preserved
assets/ui/parties/party_mdb_card_v1.png,source,party,,png,81893,294,274,58a4735a37d0686b756a9397d8a792a7d4a53c9fd690ad64ec53d9198eb8bacd,source-preserved
assets/ui/parties/party_novo_card_v1.png,source,party,,png,81181,294,274,5dbccca735c6bd1018d9a98e506af41c4c660249d32429d3bcb8eac0a8426903,source-preserved
assets/ui/parties/party_pl_card_v1.png,source,party,,png,80018,294,274,8b0b05cf28bee52fe08a528503b960d96ab1f22ef7862c99ae60604aa8a196e7,source-preserved
assets/ui/parties/party_pp_card_v1.png,source,party,,png,75855,294,274,9575d79d363eb711c149563da2729654ba1fa746735c3269f7041c7c7d5a035c,source-preserved
assets/ui/parties/party_psb_card_v1.png,source,party,,png,83873,294,274,f92939b74571d1b416908840549b8d8168d4bf6a5ed2e061fa3184324081a939,source-preserved
assets/ui/parties/party_psd_card_v1.png,source,party,,png,77085,294,274,53bcedc8d82697c6b2df63d3b5f019cf4dc0f98de8217cb99c8af8c31072e7ca,source-preserved
assets/ui/parties/party_psdb_card_v1.png,source,party,,png,86388,294,274,1a25787068689469581cff25e50c7169986a8a666e8678e55454be8c2696e994,source-preserved
assets/ui/parties/party_psol_card_v1.png,source,party,,png,85344,294,274,2bcd5ae237f51f78f22020f72365506a546298c3ffbede504c15d7f9c3d3764e,source-preserved
assets/ui/parties/party_pt_card_v1.png,source,party,,png,79805,294,274,c801a8effd9fee5a04b4b5226c56bd3dded3dd6dcd27aa4123cfc1b85c5c15c1,source-preserved
assets/ui/parties/party_pv_card_v1.png,source,party,,png,79700,294,274,7ad6d4aa2e5364d4a2249c18322d5875d9301085706f5fb9b30575b60a6f7e70,source-preserved
assets/ui/parties/party_republicanos_card_v1.png,source,party,,png,91732,294,274,fbb763fa5ed90f26f92ee05d0c6957ccd27b40a1c4e63e7ceffcfc01adff0044,source-preserved
assets/ui/parties/party_uniao_card_v1.png,source,party,,png,94251,294,274,a89ac0eb3583d304493554605671909a4b0de9f464062aaf4c78b305f6335dd1,source-preserved
assets/audio/diplografik_theme_v1.mp3,source,audio,theme,mp3,4592670,,,e03bb707127e7ded478de846d524bdbe0bd21dde621722246432e5f1cc4001a7,source-preserved
